Time	App_Name	BG_App_Cnt	Daylight	
2021-09-10 14:27:47.152029	TopTracker.exe	9	Afternoon
2021-09-10 14:27:47.263731	TextLogger.exe	9	Afternoon
2021-09-10 14:27:53.751388	opera.exe	9	Afternoon
2021-09-10 14:31:20.963450	Skype.exe	9	Afternoon
2021-09-10 14:31:40.242910	opera.exe	9	Afternoon
2021-09-10 14:32:20.945664	explorer.exe	9	Afternoon
2021-09-10 14:32:22.460614	ShellExperienceHost.exe	9	Afternoon
2021-09-10 14:32:29.178655	opera.exe	9	Afternoon
2021-09-10 14:32:45.855074	TopTracker.exe	9	Afternoon
2021-09-10 14:32:45.988718	opera.exe	9	Afternoon
2021-09-10 14:37:48.549023	TopTracker.exe	9	Afternoon
2021-09-10 14:37:48.702613	opera.exe	9	Afternoon
2021-09-10 14:44:59.989585	TopTracker.exe	9	Afternoon
2021-09-10 14:45:00.119238	opera.exe	9	Afternoon
2021-09-10 14:47:55.621072	TopTracker.exe	9	Afternoon
2021-09-10 14:47:55.734767	opera.exe	9	Afternoon
2021-09-10 14:52:47.754115	TopTracker.exe	9	Afternoon
2021-09-10 14:52:47.868809	opera.exe	9	Afternoon
2021-09-10 14:53:58.610204	Skype.exe	9	Afternoon
2021-09-10 14:54:18.043265	TopTracker.exe	9	Afternoon
2021-09-10 14:54:20.229576	opera.exe	9	Afternoon
2021-09-10 15:19:32.194874	TextLogger.exe	10	Afternoon
2021-09-10 15:19:39.781593	opera.exe	10	Afternoon
2021-09-10 15:19:49.806793	Skype.exe	9	Afternoon
2021-09-10 15:19:56.480952	opera.exe	9	Afternoon
2021-09-10 15:20:01.938363	Skype.exe	9	Afternoon
2021-09-10 15:20:02.649462	TopTracker.exe	9	Afternoon
2021-09-10 15:20:04.322986	opera.exe	9	Afternoon
2021-09-10 15:20:04.970257	TopTracker.exe	9	Afternoon
2021-09-10 15:20:05.902278	opera.exe	9	Afternoon
2021-09-10 15:20:10.595731	TopTracker.exe	9	Afternoon
2021-09-10 15:20:10.703444	opera.exe	9	Afternoon
2021-09-10 15:23:55.157412	Skype.exe	9	Afternoon
2021-09-10 15:24:01.649061	opera.exe	9	Afternoon
2021-09-10 15:25:06.121705	TopTracker.exe	9	Afternoon
2021-09-10 15:25:06.233406	opera.exe	9	Afternoon
2021-09-10 15:25:50.520015	Code.exe	9	Afternoon
2021-09-10 15:25:53.179904	opera.exe	9	Afternoon
2021-09-10 15:30:29.741575	TopTracker.exe	9	Afternoon
2021-09-10 15:30:29.858264	opera.exe	9	Afternoon
2021-09-10 15:32:02.009915	Skype.exe	9	Afternoon
2021-09-10 15:38:03.721955	opera.exe	9	Afternoon
2021-09-10 15:40:10.534947	TopTracker.exe	9	Afternoon
2021-09-10 15:40:10.687539	opera.exe	9	Afternoon
2021-09-10 15:45:06.230469	TopTracker.exe	9	Afternoon
2021-09-10 15:45:06.350149	opera.exe	9	Afternoon
2021-09-10 15:49:44.547961	TextLogger.exe	10	Afternoon
2021-09-10 15:49:56.736378	opera.exe	10	Afternoon
2021-09-10 15:50:14.249559	TopTracker.exe	10	Afternoon
2021-09-10 15:50:15.413449	opera.exe	10	Afternoon
2021-09-10 15:51:21.464873	Skype.exe	10	Afternoon
2021-09-10 15:51:26.672952	opera.exe	10	Afternoon
2021-09-10 15:55:05.786003	TopTracker.exe	9	Afternoon
2021-09-10 15:55:05.902692	opera.exe	9	Afternoon
2021-09-10 16:00:06.166002	TopTracker.exe	9	Evening
2021-09-10 16:00:06.281693	opera.exe	9	Evening
2021-09-10 16:05:07.960218	TopTracker.exe	9	Evening
2021-09-10 16:05:08.096853	opera.exe	9	Evening
2021-09-10 16:09:03.778806	Skype.exe	9	Evening
2021-09-10 16:09:30.561210	opera.exe	9	Evening
2021-09-10 16:10:16.396829	TopTracker.exe	9	Evening
2021-09-10 16:10:16.518501	opera.exe	9	Evening
2021-09-10 16:15:08.398197	TopTracker.exe	9	Evening
2021-09-10 16:15:08.537832	opera.exe	9	Evening
2021-09-10 16:16:34.890914	Code.exe	9	Evening
2021-09-10 16:16:37.111981	opera.exe	9	Evening
2021-09-10 16:19:21.490554	Code.exe	9	Evening
2021-09-10 16:19:26.263785	Skype.exe	9	Evening
2021-09-10 16:19:35.480775	TopTracker.exe	9	Evening
2021-09-10 16:19:36.488082	SnippingTool.exe	9	Evening
2021-09-10 16:19:36.614743	TopTracker.exe	9	Evening
2021-09-10 16:19:37.495390	WINWORD.EXE	9	Evening
2021-09-10 16:19:42.215771	TopTracker.exe	9	Evening
2021-09-10 16:20:07.738662	TextLogger.exe	7	Evening
2021-09-10 16:20:29.486524	TopTracker.exe	7	Evening
