Key	Press_Time	Relase_Time	Daylight	
caps_lock	2021-09-10 12:22:26.972545	2021-09-10 12:22:27.099205	Afternoon
$	2021-09-10 12:22:27.206916	2021-09-10 12:22:27.333579	Afternoon
$	2021-09-10 12:22:27.359509	2021-09-10 12:22:27.478191	Afternoon
$	2021-09-10 12:22:27.479190	2021-09-10 12:22:27.796341	Afternoon
$	2021-09-10 12:22:27.674665	2021-09-10 12:22:27.849200	Afternoon
$	2021-09-10 12:22:27.909039	2021-09-10 12:22:28.044681	Afternoon
$	2021-09-10 12:22:28.233173	2021-09-10 12:22:28.385764	Afternoon
$	2021-09-10 12:22:28.386764	2021-09-10 12:22:28.497467	Afternoon
$	2021-09-10 12:22:28.638092	2021-09-10 12:22:28.641083	Afternoon
$	2021-09-10 12:22:28.877452	2021-09-10 12:22:29.015084	Afternoon
$	2021-09-10 12:22:29.118806	2021-09-10 12:22:29.320268	Afternoon
shift	2021-09-10 12:22:29.442939	2021-09-10 12:22:29.757101	Afternoon
$	2021-09-10 12:22:49.816475	2021-09-10 12:22:49.954107	Afternoon
$	2021-09-10 12:22:50.388945	2021-09-10 12:22:50.529568	Afternoon
$	2021-09-10 12:22:53.590415	2021-09-10 12:22:53.730013	Afternoon
$	2021-09-10 12:22:54.337388	2021-09-10 12:22:54.459067	Afternoon
$	2021-09-10 12:22:56.176473	2021-09-10 12:22:56.251273	Afternoon
$	2021-09-10 12:22:56.537508	2021-09-10 12:22:56.619290	Afternoon
$	2021-09-10 12:23:41.788428	2021-09-10 12:23:41.904118	Afternoon
enter	2021-09-10 12:23:42.877517	2021-09-10 12:23:42.997195	Afternoon
$	2021-09-10 12:23:59.456197	2021-09-10 12:23:59.825210	Afternoon
$	2021-09-10 12:23:59.932923	2021-09-10 12:24:00.185248	Afternoon
$	2021-09-10 12:24:00.242096	2021-09-10 12:24:00.405663	Afternoon
$	2021-09-10 12:24:00.503397	2021-09-10 12:24:00.700870	Afternoon
$	2021-09-10 12:24:00.767691	2021-09-10 12:24:00.965163	Afternoon
$	2021-09-10 12:24:01.065893	2021-09-10 12:24:01.195549	Afternoon
$	2021-09-10 12:24:01.252399	2021-09-10 12:24:01.424934	Afternoon
$	2021-09-10 12:24:01.452862	2021-09-10 12:24:01.566555	Afternoon
$	2021-09-10 12:24:01.775000	2021-09-10 12:24:01.974464	Afternoon
$	2021-09-10 12:24:02.054251	2021-09-10 12:24:02.196870	Afternoon
$	2021-09-10 12:24:02.318545	2021-09-10 12:24:02.444210	Afternoon
$	2021-09-10 12:24:02.545937	2021-09-10 12:24:02.687557	Afternoon
$	2021-09-10 12:24:02.772332	2021-09-10 12:24:02.913953	Afternoon
$	2021-09-10 12:24:02.977783	2021-09-10 12:24:03.079510	Afternoon
$	2021-09-10 12:24:03.171265	2021-09-10 12:24:03.279976	Afternoon
$	2021-09-10 12:24:03.358763	2021-09-10 12:24:03.502379	Afternoon
$	2021-09-10 12:24:03.553244	2021-09-10 12:24:03.702844	Afternoon
ctrl_l	2021-09-10 12:23:59.192900	2021-09-10 12:24:03.968135	Afternoon
$	2021-09-10 12:24:12.831440	2021-09-10 12:24:13.076784	Afternoon
$	2021-09-10 12:24:13.233367	2021-09-10 12:24:13.431836	Afternoon
ctrl_l	2021-09-10 12:24:12.554182	2021-09-10 12:24:13.622326	Afternoon
ctrl_l	2021-09-10 12:24:20.819087	2021-09-10 12:24:20.820084	Afternoon
$	2021-09-10 12:24:21.261904	2021-09-10 12:24:21.392556	Afternoon
$	2021-09-10 12:24:21.566091	2021-09-10 12:24:21.768549	Afternoon
$	2021-09-10 12:24:21.896208	2021-09-10 12:24:22.056780	Afternoon
$	2021-09-10 12:24:22.113627	2021-09-10 12:24:22.243281	Afternoon
ctrl_l	2021-09-10 12:24:20.993621	2021-09-10 12:24:22.324064	Afternoon
$	2021-09-10 12:24:22.799793	2021-09-10 12:24:22.982305	Afternoon
ctrl_l	2021-09-10 12:24:22.574396	2021-09-10 12:24:23.229644	Afternoon
backspace	2021-09-10 12:24:28.912452	2021-09-10 12:24:29.040110	Afternoon
backspace	2021-09-10 12:24:29.757193	2021-09-10 12:24:29.880863	Afternoon
$	2021-09-10 12:24:32.615555	2021-09-10 12:24:32.728252	Afternoon
$	2021-09-10 12:24:32.961628	2021-09-10 12:24:33.045403	Afternoon
space	2021-09-10 12:24:33.610891	2021-09-10 12:24:33.739547	Afternoon
