Type	Stopped_Time	Activated_Time	Duration(s)	Daylight	
Keyboard	2021-09-10 14:37:07.037995	2021-09-10 14:48:07.290876	660.252881	Afternoon
Keyboard	2021-09-10 14:48:08.108689	2021-09-10 14:48:15.622602	7.513913	Afternoon
Keyboard	2021-09-10 14:48:21.321367	2021-09-10 14:48:34.431320	13.109953	Afternoon
Keyboard	2021-09-10 14:48:48.656292	2021-09-10 14:49:01.203749	12.547457	Afternoon
Keyboard	2021-09-10 14:49:07.091011	2021-09-10 14:49:26.935960	19.844949	Afternoon
Mouse	2021-09-10 14:49:26.394409	2021-09-10 14:49:50.609674	24.215265	Afternoon
Keyboard	2021-09-10 14:49:49.877630	2021-09-10 14:49:58.210354	8.332724	Afternoon
Keyboard	2021-09-10 14:49:58.381896	2021-09-10 14:50:07.795730	9.413834	Afternoon
Keyboard	2021-09-10 14:50:31.177225	2021-09-10 14:50:51.272504	20.095279	Afternoon
Mouse	2021-09-10 14:50:58.567004	2021-09-10 14:51:05.313967	6.746963	Afternoon
Mouse	2021-09-10 14:51:17.832501	2021-09-10 14:51:23.623021	5.79052	Afternoon
Mouse	2021-09-10 14:51:31.565789	2021-09-10 14:51:38.287821	6.722032	Afternoon
Mouse	2021-09-10 14:52:20.800171	2021-09-10 14:52:25.936441	5.13627	Afternoon
Mouse	2021-09-10 14:52:40.315999	2021-09-10 14:52:45.368493	5.052494	Afternoon
Mouse	2021-09-10 14:52:50.800970	2021-09-10 14:53:02.088794	11.287824	Afternoon
Keyboard	2021-09-10 14:50:52.342643	2021-09-10 14:53:35.033448	162.690805	Afternoon
Mouse	2021-09-10 14:53:31.721840	2021-09-10 14:53:50.999539	19.277699	Afternoon
Keyboard	2021-09-10 14:53:50.100943	2021-09-10 14:54:06.921974	16.821031	Afternoon
Keyboard	2021-09-10 14:54:07.101497	2021-09-10 14:54:14.014927	6.91343	Afternoon
Keyboard	2021-09-10 14:54:15.515816	2021-09-10 14:54:30.981109	15.465293	Afternoon
Mouse	2021-09-10 14:54:34.456819	2021-09-10 15:19:29.641699	1495.18488	Afternoon
Keyboard	2021-09-10 14:54:32.679570	2021-09-10 15:19:47.101026	1514.421456	Afternoon
Mouse	2021-09-10 15:20:30.331970	2021-09-10 15:20:46.961515	16.629545	Afternoon
Mouse	2021-09-10 15:20:52.440866	2021-09-10 15:20:57.857387	5.416521	Afternoon
Keyboard	2021-09-10 15:19:54.420460	2021-09-10 15:21:14.811065	80.390605	Afternoon
Mouse	2021-09-10 15:21:13.471645	2021-09-10 15:21:19.898467	6.426822	Afternoon
Mouse	2021-09-10 15:21:37.769691	2021-09-10 15:21:51.384293	13.614602	Afternoon
Mouse	2021-09-10 15:21:51.565808	2021-09-10 15:21:56.756932	5.191124	Afternoon
Mouse	2021-09-10 15:21:59.504588	2021-09-10 15:22:17.557326	18.052738	Afternoon
